Date,Open,High,Low,Close,Adj Close,Volume
23-01-2018,1557.474976,1571.175049,1545.025024,1551,1442.363037,3239610
24-01-2018,1545,1629.525024,1541.324951,1587.300049,1476.120483,5621538
25-01-2018,1587.5,1589.900024,1540.5,1560.525024,1451.220947,3833844
29-01-2018,1565.699951,1612.5,1561,1599.425049,1487.39624,3141060
30-01-2018,1590,1601.900024,1571.849976,1576.425049,1466.007446,1574758
31-01-2018,1568.5,1575,1549.300049,1556.175049,1447.175659,3043214
01-02-2018,1562,1595,1544.400024,1569.300049,1459.38147,2400630
02-02-2018,1560,1595,1551.724976,1576.824951,1466.379517,2456490
05-02-2018,1555,1594,1538.425049,1551.599976,1442.921143,2757742
06-02-2018,1505,1538.574951,1492.5,1498.625,1393.65686,2657306
07-02-2018,1513.5,1515.5,1473.724976,1477.525024,1374.034546,2180324
08-02-2018,1489.875,1513.800049,1479.5,1487.099976,1382.938965,2755004
09-02-2018,1475,1497,1448.324951,1485.849976,1381.776245,2102458
12-02-2018,1489.150024,1511.675049,1477.775024,1483.650024,1379.730713,1974562
14-02-2018,1485,1487.224976,1446.25,1455.900024,1353.924316,2847532
15-02-2018,1465.974976,1471.5,1452.550049,1462.925049,1360.457275,2465236
16-02-2018,1461.5,1499.800049,1461.5,1466.525024,1363.804932,2515756
19-02-2018,1472.5,1476.650024,1447.599976,1461.800049,1359.411133,1568224
20-02-2018,1464,1492.525024,1463.949951,1472.375,1369.244995,1889068
21-02-2018,1487,1531.300049,1480.025024,1521.150024,1414.604126,3089228
22-02-2018,1526,1539.5,1511.25,1525.099976,1418.277222,3463010
23-02-2018,1525,1544.5,1496.050049,1537.900024,1430.180664,3362500
26-02-2018,1537.5,1544.974976,1510.599976,1515.849976,1409.674927,1363882
27-02-2018,1520.5,1539.275024,1516,1521.175049,1414.627441,1717800
28-02-2018,1517.5,1531.974976,1510.724976,1517.525024,1411.233032,2706864
01-03-2018,1524.5,1530.599976,1510,1518.849976,1412.464966,1718124
05-03-2018,1524.5,1556.824951,1516.474976,1552.925049,1444.153442,2858168
06-03-2018,1561,1563.5,1515.074951,1521.400024,1414.836426,1906764
07-03-2018,1535,1544.5,1509.25,1513.724976,1407.698975,1917772
08-03-2018,1527.449951,1527.449951,1493.75,1501.974976,1396.771973,1951826
09-03-2018,1502.5,1531.599976,1488.599976,1517.050049,1410.79126,1872436
12-03-2018,1521.5,1541.949951,1517.75,1526.074951,1419.183716,2091340
13-03-2018,1462.449951,1469.849976,1436,1443.400024,1342.299927,88067154
14-03-2018,1446.474976,1461.525024,1437.525024,1443.449951,1342.346191,3668668
15-03-2018,1447.5,1451.275024,1427.800049,1434.849976,1334.348633,2348906
16-03-2018,1434.400024,1436,1402.5,1412.849976,1313.889404,7197482
19-03-2018,1414.5,1424,1410,1415.5,1316.354248,3489940
20-03-2018,1410,1436.599976,1409.5,1432.425049,1332.093628,4024984
21-03-2018,1436.25,1442.150024,1425,1428.375,1328.327271,3907678
22-03-2018,1429.974976,1437.974976,1411.275024,1415.675049,1316.516968,2326094
23-03-2018,1401,1417.050049,1399.025024,1409.074951,1310.379028,3654122
26-03-2018,1409.5,1413.699951,1390.775024,1408.5,1309.844238,2964210
27-03-2018,1412.5,1431.5,1411.525024,1423.849976,1324.119263,2494574
28-03-2018,1417.949951,1437.5,1412.5,1424.574951,1324.793335,6865654
02-04-2018,1420,1457,1420,1454.824951,1352.924561,1662988
03-04-2018,1446.050049,1464.949951,1446.050049,1455.625,1353.668457,1937290
04-04-2018,1464.724976,1467,1446,1455.449951,1353.505737,2841820
05-04-2018,1463.275024,1481.875,1460.175049,1478.974976,1375.383057,1809424
06-04-2018,1477,1480,1463.275024,1475.150024,1371.82605,1129018
09-04-2018,1469.849976,1481.75,1457.5,1461.949951,1359.550415,1235866
10-04-2018,1462.849976,1478.625,1462.849976,1468.800049,1365.920654,1184532
11-04-2018,1475.300049,1512.5,1472.800049,1507.074951,1401.514648,3124416
12-04-2018,1505,1575,1503.974976,1569.625,1459.683716,6114360
13-04-2018,1575,1620.400024,1566.050049,1576.650024,1466.216431,8179118
16-04-2018,1558,1599.974976,1555.375,1593.824951,1482.188599,6270274
17-04-2018,1593.824951,1597.474976,1573.599976,1583.300049,1472.400879,3301724
18-04-2018,1583,1596.724976,1572.925049,1579.550049,1468.913452,2433066
19-04-2018,1589.949951,1608.599976,1582.875,1595.574951,1483.815918,4820952
20-04-2018,1625,1711.175049,1620,1701.224976,1582.065918,18465662
23-04-2018,1712,1778.949951,1694.775024,1704.324951,1584.948608,15185910
24-04-2018,1705,1721.574951,1671.25,1692.824951,1574.254517,8314336
25-04-2018,1692.5,1741.5,1682.525024,1735.125,1613.591431,8196574
26-04-2018,1733.5,1780,1733.5,1769.625,1645.674927,12135034
27-04-2018,1762.5,1772,1710,1725.974976,1605.082153,4501330
30-04-2018,1725.974976,1774.5,1718.800049,1766.050049,1642.350586,3458558
02-05-2018,1765.25,1766.099976,1735.650024,1749.875,1627.308472,3158046
03-05-2018,1754.900024,1763,1735.199951,1740.925049,1618.985107,3761550
04-05-2018,1746,1748.5,1735,1740.375,1618.473755,2347244
07-05-2018,1745,1745,1705.449951,1710.474976,1590.668091,3484426
08-05-2018,1717.349976,1743.25,1698.349976,1720.599976,1600.08374,2992820
09-05-2018,1720.099976,1747.375,1720.099976,1744.650024,1622.449341,2615050
10-05-2018,1751.474976,1755.574951,1720.099976,1725.625,1604.75708,3858678
11-05-2018,1727.099976,1742.5,1721.25,1728.474976,1607.407227,2627876
14-05-2018,1728.5,1735.5,1705.400024,1716.775024,1596.526489,2433894
15-05-2018,1725,1747.900024,1716.849976,1741.199951,1619.241089,1952890
16-05-2018,1739.974976,1754.5,1737.625,1746.949951,1624.588013,1648450
17-05-2018,1756.474976,1766.574951,1738,1745.900024,1623.611938,2968048
18-05-2018,1740.400024,1758.849976,1729,1751.025024,1628.377808,1874996
21-05-2018,1764.349976,1796,1759.025024,1778.375,1653.812134,3446178
22-05-2018,1779,1787.474976,1746.849976,1754.449951,1631.562866,1857416
23-05-2018,1762.5,1772.5,1740.5,1747.550049,1625.146362,1507298
24-05-2018,1755,1807.5,1751.175049,1801.849976,1675.6427,2962316
25-05-2018,1812.5,1837.400024,1786.275024,1792.900024,1667.319824,3769772
28-05-2018,1808.25,1808.25,1743,1751.025024,1628.377808,3716798
29-05-2018,1764.949951,1772,1744,1761.75,1638.351685,3525312
30-05-2018,1754.525024,1766.5,1741.25,1757.050049,1633.980957,3779106
31-05-2018,1734,1759.050049,1726.099976,1741.050049,1632.574097,5049371
01-06-2018,1754,1757.5,1716.300049,1732.449951,1624.51001,1603856
04-06-2018,1745,1749,1712.599976,1744.25,1635.574829,1681483
05-06-2018,1744,1751.900024,1711.150024,1721.599976,1614.33606,2449568
06-06-2018,1723,1734.900024,1715.199951,1725.75,1618.227295,2236512
07-06-2018,1725,1749,1723.800049,1735.550049,1627.417114,2414762
08-06-2018,1735,1757.300049,1735,1747.099976,1638.247192,2582138
11-06-2018,1747.099976,1763,1743,1749.699951,1640.685181,2179378
12-06-2018,1757,1785,1753,1781,1670.035156,4608875
13-06-2018,1816,1831.650024,1798,1824.099976,1710.449829,5370983
14-06-2018,1830,1832.300049,1784,1787.550049,1676.17688,3819998
15-06-2018,1800,1847.099976,1788.599976,1840.050049,1725.406128,9183574
18-06-2018,1867.949951,1867.949951,1822.150024,1829,1715.044678,4674987
19-06-2018,1822.150024,1839,1821,1824.5,1710.824707,3245034
20-06-2018,1832,1836.300049,1818.599976,1822.449951,1708.902832,3107695
21-06-2018,1832,1832,1817.599976,1819.349976,1705.99585,2910659
22-06-2018,1827,1827,1799.550049,1809.800049,1697.040894,2949458
25-06-2018,1811.900024,1822.349976,1806,1819.25,1705.901855,2083217
26-06-2018,1823,1861,1821,1852,1736.611328,4679712
27-06-2018,1860,1885.150024,1851.25,1858,1742.237549,4081208
28-06-2018,1865,1871,1826.300049,1842.699951,1727.890869,4888125
29-06-2018,1844.900024,1867.400024,1842.300049,1847.75,1732.626587,3506276
02-07-2018,1852,1857.800049,1841.099976,1851.349976,1736.001831,2650290
03-07-2018,1859.949951,1879.900024,1857.050049,1874.050049,1757.28772,3242233
04-07-2018,1879.900024,1879.900024,1857.150024,1866.150024,1749.880005,2700614
05-07-2018,1873,1887.5,1862.099976,1880.300049,1763.148315,2472571
06-07-2018,1882.849976,1921,1881.650024,1912.949951,1793.764038,3713781
09-07-2018,1924,1924.400024,1876.5,1883,1765.680298,6151747
10-07-2018,1898,1898.900024,1870.75,1875.099976,1758.272339,5303302
11-07-2018,1900,1998,1894.150024,1979.900024,1856.542847,22903802
12-07-2018,1984,1990.900024,1960.5,1971.349976,1848.525513,6921701
13-07-2018,1975,1997.900024,1974,1981.099976,1857.667847,4148185
16-07-2018,1990,1996,1977.449951,1989.199951,1865.262939,2582159
17-07-2018,1989,2009,1981,2002.150024,1881.189331,3315492
18-07-2018,2005,2011.699951,1993.050049,2000.25,1879.404053,2013869
19-07-2018,2002.099976,2010.449951,1970,1981.400024,1861.692871,1746318
20-07-2018,1984.900024,2000,1984,1996.599976,1875.974487,1934995
23-07-2018,2001,2009.949951,1986,2005.650024,1884.477661,2086201
24-07-2018,2015,2015,1984.150024,1999,1878.229736,2038423
25-07-2018,2001.900024,2002,1968.400024,1981.5,1861.786743,1535492
